2013 Field Season																									
																									
																									
Species: DM					Species: DO					Species: DS															
Date Collected	Plot	Sex	Weight		Date Collected	Plot	Sex	Weight		Date Collected	Plot	Sex	Weight												
16/07/2013	2	F			19/08/2013	8	F	52		12/11/2013	9	F	117												
16/07/2013	7	M	33g		17/10/2013	3	F	33		12/11/2013	1	F	121												
16/07/2013	3	M			17/10/2013	3	F	50		12/11/2013	20	M	115												
16/07/2013	1	M			17/10/2013	17	F	48		12/11/2013	9	F	120												
18/07/2013	3	M	40g		17/10/2013	17	F	31		13/11/2013	17	F	118												
18/07/2013	7	M	48g		18/10/2013	8	F	41		13/11/2013	11	F	126												
18/07/2013	4	F	29g		12/11/2013	1	F	44		13/11/2013	17	M	132 (scale not calibrated)												
18/07/2013	4	F	46g		12/11/2013	1	M	48		13/11/2013	14	F	113 (scale not callibtrated)												
18/07/2013	7	M	36g		14/11/2013	8	F	39		13/11/2013	11	F	122												
18/07/2013	7	F	35g		10/12/2013	9	F	40		13/11/2013	4	F	107												
18/07/2013	8	F	22g		10/12/2013	1	M	45		13/11/2013	4	F	115												
18/07/2013	7	F	42g		11/12/2013	8	F	41																	
18/07/2013	4	F	41g																						
18/07/2013	6	F	37g																						
																									
																									
																									
																									
																									
																									
																									
